City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
137,Margate,GB,4/6/2022 2:33,51.3813,1.3862,49.3,75,95,1.01
138,Muros,ES,4/6/2022 2:33,42.7762,-9.0603,42.84,78,1,8.97
139,Sao Joao Da Barra,BR,4/6/2022 2:30,-21.6403,-41.0511,74.97,94,57,7.25
140,Ajaccio,FR,4/6/2022 2:28,42,8.9167,39.25,81,0,5.75
141,Uusikaupunki,FI,4/6/2022 2:33,60.8004,21.4084,26.87,61,100,17.98
142,Karakol,KG,4/6/2022 2:33,42.4907,78.3936,51.1,36,0,1.61
143,Agadir,MA,4/6/2022 2:33,30.4202,-9.5982,55.85,67,4,9.82
144,Coquimbo,CL,4/6/2022 2:33,-29.9533,-71.3436,55.13,100,100,2.3
145,San Luis,AR,4/6/2022 2:33,-33.295,-66.3356,62.37,59,0,8.3
146,Tasiilaq,GL,4/6/2022 2:33,65.6145,-37.6368,17.76,89,46,6.46
147,Kruisfontein,ZA,4/6/2022 2:33,-34.0033,24.7314,60.89,77,93,10.31
148,Herat,AF,4/6/2022 2:33,34.5,62,73.96,12,34,7.9
149,Iralaya,HN,4/6/2022 2:33,15,-83.2333,79.61,81,47,10.76
150,Santa Cruz De Tenerife,ES,4/6/2022 2:33,28.4682,-16.2546,63.64,78,100,14.97
151,Narsaq,GL,4/6/2022 2:33,60.9167,-46.05,32.22,84,29,1.05
152,Ustye,RU,4/6/2022 2:33,59.6304,39.736,29.91,96,100,13.87
153,Oistins,BB,4/6/2022 2:33,13.0667,-59.5333,78.89,69,20,13.8
154,Cidreira,BR,4/6/2022 2:33,-30.1811,-50.2056,67.03,77,67,6.51
155,Anandnagar,IN,4/6/2022 2:33,27.1,83.2833,86.68,17,2,9.71
156,Srikakulam,IN,4/6/2022 2:33,18.3,83.9,84.54,65,45,7.27
157,Krasnoselkup,RU,4/6/2022 2:33,65.7,82.4667,33.13,87,100,21.56
158,Zemio,CF,4/6/2022 2:33,5.0314,25.1361,72.64,78,100,3.11
159,Tiznit,MA,4/6/2022 2:33,29.5833,-9.5,50.52,75,84,11.43
160,Petauke,ZM,4/6/2022 2:33,-14.2426,31.3253,64.22,95,73,2.08
161,Chapais,CA,4/6/2022 2:32,49.7834,-74.8492,24.58,91,10,3.8
162,Clyde River,CA,4/6/2022 2:33,70.4692,-68.5914,-5.57,84,40,3.44
163,Havelock,US,4/6/2022 2:33,34.8791,-76.9013,67.98,93,100,5.99
164,Boca Do Acre,BR,4/6/2022 2:33,-8.7522,-67.3978,74.5,93,86,1.77
165,Diamantino,BR,4/6/2022 2:32,-14.4086,-56.4461,73.26,83,11,0.98
166,Kochki,RU,4/6/2022 2:33,54.3358,80.4806,44.74,81,100,7.09
167,Fuerte Olimpo,PY,4/6/2022 2:33,-21.0415,-57.8738,82.31,49,77,2.71
168,Sao Filipe,CV,4/6/2022 2:33,14.8961,-24.4956,70.72,73,9,8.16
169,Mercedes,AR,4/6/2022 2:33,-34.6515,-59.4307,59.04,57,0,8.25
170,Galle,LK,4/6/2022 2:33,6.0367,80.217,81.66,74,40,3.85
171,Dunn,US,4/6/2022 2:33,44.95,-91.8835,43.21,99,100,13.62
172,Tayga,RU,4/6/2022 2:32,56.06,85.6197,45.52,93,100,7.58
173,Shache,CN,4/6/2022 2:33,38.4167,77.2406,68.29,13,0,5.12
174,West Bay,KY,4/6/2022 2:33,19.3667,-81.4167,81.07,80,20,8.05
175,Vila Franca Do Campo,PT,4/6/2022 2:33,37.7167,-25.4333,54.01,83,52,4.83
176,Havre-Saint-Pierre,CA,4/6/2022 2:33,50.2334,-63.5986,32,64,100,5.75
177,Safaga,EG,4/6/2022 2:33,26.7292,33.9365,81.91,26,46,7.96
178,Pisco,PE,4/6/2022 2:33,-13.7,-76.2167,68.05,83,0,10.36
179,Nchelenge,ZM,4/6/2022 2:34,-9.3451,28.734,66.58,94,53,5.44
180,Rocha,UY,4/6/2022 2:34,-34.4833,-54.3333,52.29,68,0,7.09
181,Aswan,EG,4/6/2022 2:34,24.0934,32.907,76.3,12,0,6.91
182,Gurupi,BR,4/6/2022 2:34,-11.7292,-49.0686,75.18,66,0,1.32
183,Inhambane,MZ,4/6/2022 2:34,-23.865,35.3833,75.33,87,1,6.71
184,Raudeberg,NO,4/6/2022 2:34,61.9875,5.1352,31.87,91,96,5.73
185,Klyuchi,RU,4/6/2022 2:34,52.2667,79.1667,52.05,82,75,6.85
186,Nivala,FI,4/6/2022 2:34,63.9167,24.9667,28.69,95,100,6.04
187,Pervomayskoye,RU,4/6/2022 2:34,43.919,46.7102,41.43,93,98,5.68
188,Yabelo,ET,4/6/2022 2:34,4.8833,38.0833,59.29,62,7,6.15
189,Gangapur,IN,4/6/2022 2:34,26.4833,76.7167,89.98,7,67,6.78
190,Atbasar,KZ,4/6/2022 2:34,51.8,68.3333,32.18,90,68,8.52
191,Kidal,ML,4/6/2022 2:34,18.4411,1.4078,84.99,6,28,7.47
192,Sembe,CG,4/6/2022 2:34,1.6481,14.5806,68.2,99,99,0.89
193,Tibati,CM,4/6/2022 2:34,6.4667,12.6333,66.36,88,99,2.08
194,La Asuncion,VE,4/6/2022 2:34,11.0333,-63.8628,78.53,89,55,17.27
195,Pafos,CY,4/6/2022 2:34,34.7667,32.4167,69.22,39,6,3.44
196,Longyearbyen,SJ,4/6/2022 2:34,78.2186,15.6401,8.44,72,0,14.97
197,Nioki,CD,4/6/2022 2:34,-2.7167,17.6833,69.17,93,100,1.3
198,Port-De-Bouc,FR,4/6/2022 2:34,43.4,4.9833,46.96,75,0,5.75
199,Saint Austell,GB,4/6/2022 2:34,50.3383,-4.7658,51.01,93,75,20.71
200,Pangody,RU,4/6/2022 2:34,65.85,74.4859,21.58,91,100,20.45
201,Itabaiana,BR,4/6/2022 2:34,-10.685,-37.4253,70.63,90,0,1.86
202,Kibondo,TZ,4/6/2022 2:34,-3.5864,30.7203,58.59,97,73,1.95
203,Xapuri,BR,4/6/2022 2:34,-10.6517,-68.5044,75.07,80,62,0.96
204,Den Helder,NL,4/6/2022 2:34,52.9599,4.7593,49.98,83,100,21.99
205,Richards Bay,ZA,4/6/2022 2:34,-28.783,32.0377,74.21,80,92,2.39
206,Aquiraz,BR,4/6/2022 2:34,-3.9014,-38.3911,79.18,86,20,6.64
207,Balkanabat,TM,4/6/2022 2:34,39.5108,54.3671,59.36,55,39,2.06
